PicoQuant CPDL-S-F

HW-Rev.:	PQ.033.5200.0101
Serial-Num.:	916065:01037578
Ser.-Num. SEED LD:	21391:01035837
Ser.-Num. PUMP LD:	xxxxx:xxxxxxxx
Production Date:	03.04.2019
FW-Version:	0.98

Date	Time	STATE	SysHour	SysTemp	VCCIN	CURIN	PWRIN	SOURCE	EXT	INT	VCC	BOOST	REG	NBA	NBB	TEMP	setNBA	setNBB	setSMF	setSEF	setSEV	setSEC		Main power supply pump	Voltage at monitor diode	Pump temperature	Pump current	Stored value for REG	Stored value for Offset	Stored seed temperature	Stored pump temperature	Stored pump current
			h	oC	mV	mA	mW		Hz	Hz	mV	mV	mV	mV	mV	oC	mV	mV	Hz	Hz	mV			--	--	--	--	--	--	--	--	--
2019-09-30	10:16:27.017	IDLE	0000000473	23861	12352	00174	02149	EXT	0000000000	0080000000	04994	00000	00007	03507	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:28.196	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03515	03511	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:29.368	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04992	00000	00007	03507	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:30.541	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03512	03508	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:20.725	IDLE	0000000473	22633	12352	00171	02112	EXT	0000000000	0080000000	04994	00103	00007	03507	03502	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:21.986	IDLE	0000000473	22388	12347	00171	02111	EXT	0000000000	0080000000	04994	00087	00007	03504	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:23.170	IDLE	0000000473	22633	12352	00168	02075	EXT	0000000000	0080000000	04994	00063	00007	03508	03503	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:24.345	IDLE	0000000473	22633	12352	00168	02075	EXT	0000000000	0080000000	04994	00047	00015	03502	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:25.526	IDLE	0000000473	22388	12352	00168	02075	EXT	0000000000	0080000000	04994	00039	00007	03506	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:26.702	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04994	00023	00007	03502	03504	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:27.878	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04992	00023	00007	03506	03502	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:29.052	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04992	00015	00007	03506	03503	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:30.228	IDLE	0000000473	22633	12352	00168	02075	EXT	0000000000	0080000000	04992	00007	00007	03500	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:31.424	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03500	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:32.597	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03504	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:33.770	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00015	03503	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:34.943	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00015	03499	03506	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:36.118	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00015	03502	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:37.293	IDLE	0000000473	22633	12352	00168	02075	EXT	0000000000	0080000000	04994	00000	00015	03502	03502	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:38.466	IDLE	0000000473	22388	12352	00168	02075	EXT	0000000000	0080000000	04996	00000	00007	03500	03502	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:39.640	IDLE	0000000473	22633	12352	00168	02075	EXT	0000000000	0080000000	04994	00000	00015	03507	03503	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:40.813	IDLE	0000000473	22633	12347	00171	02111	EXT	0000000000	0080000000	04994	00000	00007	03502	03504	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:41.986	IDLE	0000000473	22879	12352	00168	02075	EXT	0000000000	0080000000	04992	00000	00007	03500	03502	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:43.160	IDLE	0000000473	22633	12352	00168	02075	EXT	0000000000	0080000000	04994	00000	00015	03508	03506	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:44.336	IDLE	0000000473	22633	12352	00171	02112	EXT	0000000000	0080000000	04996	00000	00007	03503	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:45.507	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00015	03506	03506	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:46.680	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03506	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:47.854	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03506	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:49.027	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04996	00000	00015	03507	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:50.200	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03503	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:51.373	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03503	03503	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
